1950,28296,1174947,418430
1951,29110,1183788,458238
1952,29980,1195209,408823
1953,30904,1261775,446127
1954,31880,1339837,378752
1955,32906,1377917,407522
1956,33978,1427722,368740
1957,35095,1485202,414545
1958,36253,1447578,404529
1959,37448,1589606,396924
1960,38677,1608174,402545
1961,39939,1647006,388857
1962,41234,1705481,403046
1963,42564,1756624,412834
1964,43931,1849408,408275
1965,45339,1888171,404163
1966,46784,1954340,424141
1967,48264,1981363,420298
1968,49788,2058251,452910
1969,51361,2037561,458886
1970,52988,2132630,485656
1971,54669,2231399,458323
1972,56396,2346002,476206
1973,58156,2572287,458915
1974,59931,2522580,433104
1975,61708,2254497,435888
1976,63486,2366305,455660
1977,65261,2379327,450454
1978,67013,2346862,418381
1979,68715,2274267,428217
1980,70353,2446238,434465
1981,71916,2530662,424274
1982,73416,2392849,412345
1983,74880,2609088,413403
1984,76351,2511894,410550
1985,77859,2655671,414003
1986,79410,2577045,400079
1987,80999,2794390,400280
1988,82635,2622031,412987
1989,84327,2620262,423304
1990,86077,2735312,422803
1991,87890,2756447,411131
1992,89758,2797397,409814
1993,91654,2839686,416335
1994,93542,2904389,419074
1995,95393,2750444,430278
1996,97202,2707718,436321
1997,98969,2698425,440437
1998,100679,2668429,444665
1999,102317,2769089,443950
2000,103874,2798339,437667
2001,105340,2767610,443127
2002,106724,2699084,459687
2003,108056,2655894,472140
2004,109382,2625056,473417
2005,110732,2567906,495240
2006,112117,2505939,494471
2007,113530,2655083,514420
2008,114968,2636110,539530
2009,116423,2577214,564673
2010,114255,2643908,592018
2011,115683,2586287,590693
2012,117054,2498880,602354
2013,118395,2478889,623599
2014,119713,2463420,633641
2015,121005,2353596,655694
